nomdepto_censo,cluster
ADOLFO ALSINA,1
ADOLFO GONZALES CHAVES,1
ALBERTI,1
ARRECIFES,1
AYACUCHO,1
AZUL,1
BALCARCE,1
BARADERO,1
BENITO JUAREZ,1
BOLIVAR,1
BRAGADO,1
BRANDSEN,1
CAMPANA,1
CAÑUELAS,1
CAPITAN SARMIENTO,1
CARLOS CASARES,1
CARLOS TEJEDOR,1
CARMEN DE ARECO,1
CASTELLI,1
CHACABUCO,1
CHASCOMUS,1
CHIVILCOY,1
COLON,1
CORONEL DORREGO,1
CORONEL PRINGLES,1
CORONEL SUAREZ,1
DAIREAUX,1
DOLORES,1
ESCOBAR,1
EXALTACION DE LA CRUZ,1
EZEIZA,1
FLORENTINO AMEGHINO,1
GENERAL ALVARADO,1
GENERAL ALVEAR,1
GENERAL ARENALES,1
GENERAL BELGRANO,1
GENERAL GUIDO,1
GENERAL LAS HERAS,1
GENERAL LAVALLE,1
GENERAL LAVALLE,1
GENERAL PAZ,1
GENERAL PINTO,1
GENERAL RODRIGUEZ,1
GENERAL VIAMONTE,1
GENERAL VILLEGAS,1
GUAMINI,1
HIPOLITO YRIGOYEN,1
JUNIN,1
LA COSTA,1
LAPRIDA,1
LAS FLORES,1
LEZAMA,1
LINCOLN,1
LOBERIA,1
LOBOS,1
LUJAN,1
MAGDALENA,1
MAIPU,1
MAR CHIQUITA,1
MERCEDES,1
MONTE,1
MONTE HERMOSO,1
NAVARRO,1
NECOCHEA,1
OLAVARRIA,1
PATAGONES,1
PEHUAJO,1
PELLEGRINI,1
PERGAMINO,1
PILA,1
PINAMAR,1
PRESIDENTE PERON,1
PUNTA INDIO,1
RAMALLO,1
RAUCH,1
RIVADAVIA,1
ROJAS,1
ROQUE PEREZ,1
SAAVEDRA,1
SALADILLO,1
SALLIQUELO,1
SALTO,1
SAN ANDRES DE GILES,1
SAN ANTONIO DE ARECO,1
SAN CAYETANO,1
SAN FERNANDO,1
SAN PEDRO,1
SAN VICENTE,1
SUIPACHA,1
TAPALQUE,1
TORDILLO,1
TORNQUIST,1
TRENQUE LAUQUEN,1
TRES ARROYOS,1
TRES LOMAS,1
VILLA GESELL,1
VILLARINO,1
ZARATE,1
AVELLANEDA,2
BERAZATEGUI,2
BERISSO,2
ENSENADA,2
ESTEBAN ECHEVERRIA,2
FLORENCIO VARELA,2
GENERAL SAN MARTIN,2
HURLINGHAM,2
ITUZAINGO,2
MALVINAS ARGENTINAS,2
MERLO,2
MORENO,2
PILAR,2
SAN ISIDRO,2
SAN MIGUEL,2
SAN NICOLAS,2
TIGRE,2
TRES DE FEBRERO,2
VICENTE LOPEZ,2
ALMIRANTE BROWN,3
BAHIA BLANCA,3
LANUS,3
LOMAS DE ZAMORA,3
MORON,3
QUILMES,3
TANDIL,3
