indicador,valores_logrados,valor_meta,frecuencia_medicion,indicador_temporal,value_box_ratio_meta
CFP,18,25,mes,2023-01,0.72
CFP,20,25,mes,2023-02,0.80
CFP,21,25,mes,2023-03,0.84
CFP,22,25,mes,2023-04,0.88
CFP,23,25,mes,2023-05,0.92
CFP,24,25,mes,2023-06,0.96
CFP,23,25,mes,2023-07,0.92
CFP,24,25,mes,2023-08,0.96
CFP,25,25,mes,2023-09,1
CFP,24,25,mes,2023-10,0.96
CFP,25,25,mes,2023-11,1
CFP,25,25,mes,2023-12,1
CFP,19,25,mes,2024-01,0.76
CFP,20,25,mes,2024-02,0.80
CFP,21,25,mes,2024-03,0.84
CFP,23,25,mes,2024-04,0.92
CFP,24,25,mes,2024-05,0.96
CFP,24,25,mes,2024-06,0.96
CFP,24,25,mes,2024-07,0.96
CFP,25,25,mes,2024-08,1
CFP,25,25,mes,2024-09,1
CFP,24,25,mes,2024-10,0.96
CFP,25,25,mes,2024-11,1
CFP,25,25,mes,2024-12,1
CFP,20,25,mes,2025-01,0.80
CFP,21,25,mes,2025-02,0.84
CFP,22,25,mes,2025-03,0.88
CFP,23,25,mes,2025-04,0.92
CFP,24,25,mes,2025-05,0.96
CFP,24,25,mes,2025-06,0.96
CFP,24,25,mes,2025-07,0.96
CFP,24,25,mes,2025-08,0.96
CFP,24,25,mes,2025-09,0.96
CFP,24,25,mes,2025-10,0.96
CFP,24,25,mes,2025-11,0.96
CFP,25,25,mes,2025-12,1
MA,9,8,trimestral,2023-Q1,1.125
MA,10,8,trimestral,2023-Q2,1.25
MA,11,8,trimestral,2023-Q3,1.375
MA,8,8,trimestral,2023-Q4,1
MA,10,8,trimestral,2024-Q1,1.25
MA,11,8,trimestral,2024-Q2,1.375
MA,12,8,trimestral,2024-Q3,1.5
MA,9,8,trimestral,2024-Q4,1.125
MA,11,8,trimestral,2025-Q1,1.375
MA,12,8,trimestral,2025-Q2,1.5
MA,14,8,trimestral,2025-Q3,1.75
MA,8,8,trimestral,2025-Q4,1
AV,35,80,anual,2023,0.4375
AV,60,80,anual,2024,0.75
AV,70,80,anual,2025,0.875
